user_id,username,pp,global_rank
16898447,GoldPabilion,14207.7,222
20487634,Istaroth,14204.1,223
20496815,4Kenn,14195.6,224
23297156,[Crz]RafaelPC,14185.1,225
15944956,MatchaLatte-,14179.6,227
32611807,Shoost,14176.0,229
24511860,_wxzy,14175.0,228
19191509,CoconutMinaduki,14172.6,229
17607162,_Happy,14171.4,230
34571623,panponger,14169.5,231
35528667,ysls19798385,14144.9,232
32318227,djj492,14142.8,234
14931745,[LS]Icetify,14141.9,235
26233321,[LS]Vixile,14131.7,234
26275233,[Paw]fenku,14130.6,235
34233516,- MatchaLatte -,14128.4,236
17533686,monkey_,14124.7,237
26882713,Projiensux,14124.5,238
25654619,moonrocks 4,14114.1,240
26117532,madelief013,14109.6,243
33869170,a202f,14109.6,242
23291631,b3njvv2,14109.4,243
30254673,Dualof4Kand7K,14108.7,244
22767451,Therealhater,14107.9,246
35268765,Normai_,14107.0,247
31728201,hh27v7,14106.8,248
32374576,[Crz]Miyako,14103.2,250
15809312,laser,14100.8,250
12118687,Voezux,14098.5,251
13465246,TheSnowie,14096.9,252
18521083,[Crz]Neri,14094.0,253
22839620,beta carotene,14087.8,254
35467839,CluelessGobbler,14084.8,255
36184065,Lirileh,14065.4,256
30243406,unluminated520,14064.7,257
25345980,Maxtulini,14059.4,258
19133938,Eeriee,14059.2,259
29530752,Enderek_,14052.3,261
21114236,clonedroid,14043.8,261
29388371,bad maniaplayer,14042.5,262
9169747,Nathanial,14039.9,263
10629473,cow,14036.9,264
16447598,Earther06,14035.2,265
15711419,thatguyalpha,14034.2,266
11643399,Kaya_,14031.4,267
27874088,borrys,14031.4,268
17611342,[Crz]xuyonghao,14029.7,269
24780565,Abyss 0,14014.6,270
27770813,FroceST,14012.3,271
16998777,Styrene,14010.4,272
15288539,Tsumikiyuzu,14005.5,273
24694866,Edumitobr,14001.2,274
11341964,MowseChow,14000.5,275
14676719,TTv_UFO,13999.9,276
24277812,yukataa,13999.5,277
15584916,Fejse,13998.9,278
31351460,foxyops,13980.4,279
21102581,Namia,13979.9,280
31104935,ReMESSS,13976.9,281
30608692,[Crz]Nurture,13975.7,282
16119061,Zembonics,13967.1,283
30234014,koronkun,13961.7,284
6117525,ruka,13945.9,285
14666538,Charli XCX,13942.2,286
23059352,Excluxid,13936.4,287
30107848,sans1590,13934.3,288
35494263,LOKSHOON_OSU,13920.5,289
32180438,Cansole,13918.6,289
18483296,ketiph,13917.6,290
16407268,_dev_,13912.4,291
35458499,zinkotripas,13909.1,292
33833222,YoungBurger16,13904.8,293
24978350,Rushenality,13896.1,295
3262821,[SPNG] Sim0,13891.3,294
15862779,Aaronzzang,13878.1,298
26516289,ibeagoodbed,13877.0,296
34664189,-Khoa-,13875.1,297
16018038,frawog,13874.6,298
10878878,chumpup,13869.8,301
16609701,Pol,13867.7,302
35839140,hitorigotou213,13861.2,301
17147440,Kornjii,13860.1,302
20280819,real-99,13859.7,303
5243536,etterna in osu,13855.7,304
28535456,9Xeroize9,13852.6,306
31524315,MyAngelTlipoca,13849.9,306
11700865,Lemmie,13846.4,307
25690184,JoeyGYGY,13846.1,310
27029245,WingsOfRain,13845.5,309
