,,,,3262554,StudioEIM - Crescent Moon Island (Shoegazer) [Kuro]
,,,,3348224,DJ SHARPNEL - FAKE PROMISE (Shoegazer) [Eternity 1.4x (267bpm)]
,,,,3362200,Imperial Circus Dead Decadence - Shinbatsu o Tadori Kyoukotsu ni Itaru (Evening) [Till November Night (reprise)]
,,,,3382064,Camellia - B L A C K - R A Y (Mipha-) [D A R K - M A G I C I A N  T O A P H]
,,,,3414825,Hommarju - Slluuddggee (CrewK) [hedoro]
,,,,3475520,seatrus - DOOMSDAY THUNDERTEMPEST (gzdongsheng) [DISASTER]
,,,,3553471,"Camellia - Dyscontrolled Galaxy (""Apoptosis"" Long ver.) (Toaph Daddy) [Collapse]"
,,,,3575842,Noah - Deadly force - Put an end (riunosk) [Immeasurable Momentum]
,,,,3592063,Camellia - Blackmagik Blazing (-mint-) [The Sorcerer's Apprentice]
,,,,3605484,MisoilePunch ~pan soe~ - MeTear'n TruX (fvrex) [guden's L'ythlinn]
,,,,3620489,xi - Angel's Ladder (Toaph Daddy) [lemonguy's Ascension to Heaven]
,,,,3644358,Foxsky - 9mm (lemonguy) [Challenge x1.3]
,,,,3645839,UNDEAD CORPORATION - The Empress (_underjoy) [MASSACRE]
,,,,3661463,xi - Quietus Ray (FelixSpade) [Calliope]
,,,,3674684,onumi & Akira Complex - Ethereal Cyber Angel XV (DannyPX) [Interplanetary]
,,,,3682711,technoplanet - Intuition (Touru0711) [_KB's Clairvoyance]
,,,,3695815,void (Mournfinale) feat. Hoshikuma Minami - Testify (Akasha-) [Transcend your Limit | Fatal End]
,,,,3755586,Akiyama Uni - Odoru Mizushibuki (Shoegazer) [Macabre 1.2x (166bpm)]
,,,,3771148,ReeK - Multigenre Smackdown (-mint-) [Vine Boom Sound Effect (bass boosted)]
,,,,3784899,Camellia - TremENDouS (-mint-) [Intergalactic]
,,,,3793375,aa...hisuichazuke... - steganography (-mint-) [Cipher Encryption]
,,,,3799889,Hommarju - Slluuddggee (CrewK) [hedoro (cursed)]
,,,,4020338,Tracy feat. Hotaru - Indomitable Spirit [Hommarju Remix] (Auraah) [[L]u[N]atic 1.4x (238bpm)]
,,,,4020339,Tracy feat. Hotaru - Indomitable Spirit [Hommarju Remix] (Auraah) [[L]u[N]atic]
,,,,4067485,katagiri - Kyuukou (ERA Leon) [Equilibrium]
,,,,4069609,seatrus - EXXTRA JUDGEMENT (Saemitsu) [INCONXXEIVABLE PUNISHMENT]
,,,,4144490,penoreri - Lancelot ~Flame of the Rebellion~ (Amiichii) [LNCELOT]
,,,,4189255,Rahatt - Matusa Bomber (Ska) [1.25]
,,,,4266340,ikaruga_nex - SICK ROCK CRAZY (-mint-) [NOW LET ME SEE YOU DROP IT]
,,,,4276082,Toromaru - Deorbit (elexire) [Asynchrony]
