user_id,elo,username,country
12059553,340.4460501539786,Mario Paint,GB
18236316,339.82687135474214,Sawdust Inhaler,CA
26117532,339.6755034310743,madelief013,NL
10374991,339.514777541949,Sirelia,PH
31975052,339.31806523137215,leahkim,KR
7304075,338.87792089984134,Kuiiiiteeee,CN
1149319,338.29944131284293,popomon,KR
11517895,338.24841308927245,LivelyPeninsula,PH
10027302,338.0564509730039,Cyaewin,DE
6336721,337.9510134258425,[Paw]FIood,CN
25689815,337.77027122825115,Midian,NZ
29388371,337.5919944336084,bad maniaplayer,JP
18473578,337.35826427015866,Seitora,US
24036664,337.3121323188259,nu0,CA
27257033,337.12866604749684,[EG] nw9,EG
26275233,336.17005814915103,[Paw]fenku,PL
26140861,336.0209935747726,Scitra,KR
11716111,335.96257805456287,Swarmsii,PH
18428953,335.7873373199458,Hualow,ID
23429747,335.1843439869793,p6yb,ZA
10879600,334.6091777408188,HowToPlayLN,TH
17527822,334.00301926988016,[Crz]Ranm,CN
11379988,333.61672243841895,Sen-,PH
4116072,333.39214363363214,Arkener,CL
13975661,333.3517779083708,lianic,KR
13047982,333.2668973921554,Chara Undertale,QA
16893113,333.14634702204,Incivelry,KR
10333427,333.10347199362144,FL_GunMaru,KR
17036965,333.0110723141033,PouSlayer,PE
13847951,332.8976167218728,Dale940,CA
17753122,332.80733291494937,invadey,US
13640336,332.73978464471463,JassonAHH,PE
12657177,332.6616511476929,ASharpp,US
18342820,332.485623488309,Ancuw,PE
10878878,332.0975236087514,chumpup,KR
27455673,332.0802480444383,ZefliN,RU
16923930,332.0137978801,Nachumi-chan,VN
3799946,331.56359451488373,xSnaggles,GB
13125084,331.3613359421985,qancke,US
5243536,330.7358836538672,etterna in osu,UY
14551764,330.21973176387155,[LS]Mitter,US
31185655,330.06376842954336,SaltFalt,CN
26876234,329.903501815576,DeadSlayer,PH
11700865,329.8053006804101,Lemmie,SE
6809566,329.79610250211294,itsdarious555,ES
13185425,329.61040201155976,LazyGhost14,CA
14579257,329.483606452682,diviza,PE
9169747,329.38140364332844,Nathanial,GB
6753592,329.2753072481176,[Crz]raber,CN
23291631,329.2622050829884,b3njvv2,CL
20822831,329.1998596480627,Acrylla_,US
16233256,329.17233967175486,EteChmess,AR
