user_id,username,final_rank
27233308,CuteNatro,73.0
9423922,Velyria,74.0
33473292,WaterQuality,74.0
17494164,ggeexx1,75.0
9169747,Nathanial,76.0
34344384,Nikorofanboy,77.0
18267981,revokeww,77.0
9530019,Lothus,78.0
28571440,[Crz]yomogi237,79.0
16233256,EteChmess,80.0
16505281,Buschan,81.0
25311011,Stereotype,82.0
18338179,bagjettka,83.0
26844936,SomeDumbEtDude,83.0
12689667,[Albert],84.0
15806513,jkzu123,85.0
18943504,fefedk,86.0
21446926,Fier,87.0
17753122,invadey,88.0
10764424,Mantozi,89.0
12572401,kzorii,90.0
19133938,Eeriee,90.0
7945868,[GB]SnowScent,91.0
26702763,riftoyu,92.0
4084853,xxxxxx2800,93.0
21102581,Namia,94.0
2288363,SillyFangirl,95.0
13465246,TheSnowie,96.0
11700865,Lemmie,96.0
10303887,oct4,97.0
16055641,Rxizuna,98.0
16468962,ERA Sunny,99.0
10745260,jhleetgirl,100.0
18111392,minatoaquafan69,101.0
15513303,Znow,102.0
15772814,Unitori-,103.0
31706494,C0mp1ex_,104.0
26140861,Scitra,104.0
20051971,vegetagamerbr34,105.0
18566390,Nubbo123,106.0
18356454,Minwoo3098,107.0
12599154,Toxic Scent,108.0
10333739,[Crz]sunnyxxy,109.0
32379983,Idontknowwhathi,110.0
23528661,henryalexbr,111.0
21591349,Big noob lol,112.0
11563203,osu_degenstage5,113.0
6699923,Sunyata,114.0
29024004,Meatloaf,114.0
15548876,Silicosis,115.0
10027302,Cyaewin,116.0
24548857,Anterex,117.0
10817494,[Crz]Nickname,118.0
10242062,AFOTHER,119.0
15179858,Tonels,120.0
19744986,-Viktor-,121.0
11488604,CrewK,122.0
14551764,[LS]Mitter,123.0
10329095,VanillaLatte,124.0
31041154,Rinsresg,124.0
24058560,Neon-Hooray,125.0
22725724,magnifestio,126.0
12346126,ayalala,127.0
32374576,[Crz]Miyako,127.0
11799103,yoppy-yugen,128.0
6336721,[Paw]FIood,129.0
35157637,clairpis,130.0
17721427,Wang Jian,131.0
6824332,Squartatrice,131.0
20372838,[Szy]polymaridd,132.0
13821222,Lott,133.0
16296036,IWateh,134.0
11817815,[Crz]Envy,135.0
13047982,Chara Undertale,136.0
12562107,CPT_Sivelia,137.0
11817838,Brisket Bacon,138.0
21207265,oyama mahiro,139.0
27540621,angela202133,140.0
26117532,madelief013,141.0
25345980,Maxtulini,142.0
9332478,Slick6969,142.0
13921965,DarkMew2,143.0
26253851,Aigisfangirl,144.0
11517895,LivelyPeninsula,145.0
27762510,-Vixteria-,146.0
18563362,Concepte,147.0
30790527,Databyte,148.0
17089357,[RUE]Jeunios,148.0
23392961,Darkhechiser,149.0
34545394,shenmeng,149.0
17699745,_Kiruru,150.0
31185655,SaltFalt,151.0
23429747,p6yb,151.0
20834055,_yea,152.0
27455673,ZefliN,153.0
13226626,gxrl,154.0
26690747,aero-,155.0
26275233,[Paw]fenku,155.0
7928981,[Crz]Riko,156.0
14196373,Verdon,157.0
15391485,hsod,158.0
31519818,[Crz]anfish1013,159.0
15625432,[Crz]rebellion,159.0
19970192,saragi,160.0
13878539,ERA Veryi,160.0
24756728,[Crz]Sakuya,161.0
15267478,maykolmejor,161.0
14075567,bad LN player,162.0
1020304,NKZoyDkKalBoJun,162.0
13601876,Orost,163.0
14892447,JayLye,164.0
19664675,dumbidot,165.0
11183413,CertifiedPinoy,166.0
14318312,[Crz]Reimu,167.0
24511860,_wxzy,168.0
18278945,PocaFangirl,168.0
31146692,Na2303,169.0
16191180,Shice2566,170.0
14213841,[Crz]Xinyi2016,171.0
21072569,AomDCO,172.0
24026784,achii77,173.0
17369785,Loslic,173.0
10702235,[Crz]Caicium,174.0
29165753,shadiaojunshi,175.0
13349388,Achino,176.0
6117525,ruka,177.0
10804091,GDMem,178.0
26233321,[LS]Vixile,179.0
9663200,Strachy,180.0
10015908,Auraah,181.0
12584420,Vulpsi,182.0
27767846,Oort6,182.0
19554046,Shadow_GM,183.0
30469374,StirFriedShrimp,183.0
25159471,senkhyu,184.0
16447598,Earther06,185.0
13847951,Dale940,185.0
