player_id,elo_score,rank_4k,final_rank,country,username,final_rank_percentile
32164514,-70.95573554850736,5367,5535.0,TH,Cyxn,0.3652213810506997
24740093,-10.529429163735117,5555,5536.0,VE,DracocjPC,0.36510667584308326
25638109,-92.27857197304084,5304,5537.0,US,dcorpzz et,0.36499197063546684
19161800,-33.986903582359695,5485,5538.0,RO,f4test,0.36487726542785043
9499508,74.05007343536458,8953,5539.0,US,Mudrock,0.364762560220234
15092456,-178.4306160920058,5038,5540.0,MY,mengfengouo,0.3646478550126176
36415406,-43.58687461735226,5458,5541.0,PL,Owwka,0.3645331498050011
32891550,-39.49288281014624,5471,5542.0,KR,wanda0503,0.3644184445973847
11113937,-40.48711645448321,5468,5543.0,US,spookyspocky,0.3643037393897683
29382708,-69.63120033348126,5378,5544.0,GB,xyscl,0.36418903418215187
6504144,-107.92574408804155,5260,5545.0,RU,DeimosX,0.36407432897453545
32806975,-83.08696958992596,5337,5546.0,RO,RealityDisorder,0.36395962376691904
28933613,59.7684246521186,5780,5547.0,AT,Alex1809,0.36384491855930257
24156827,-39.00238992637093,5474,5548.0,TH,31xKilooDust,0.36373021335168615
28058184,27.255472497310883,8598,5549.0,PE,eXCesc,0.36361550814406973
22977409,10.472263421506137,8473,5550.0,US,xcvb123,0.3635008029364533
35254400,-16.449242709615575,5550,5551.0,CN,tcfff,0.3633860977288369
31504836,-86.95387210367893,5332,5552.0,US,ii HxPs,0.3632713925212205
35409815,-171.24335968752197,5072,5553.0,CN,mowu233,0.36315668731360407
34083975,-58.043180091915815,5429,5554.0,CN,bjt123,0.3630419821059876
31898780,-268.4095245493264,4778,5555.0,CN,Tycosmo16,0.3629272768983712
36571192,-54.20965469267435,5442,5556.0,CN,FyHBer655,0.36281257169075476
30774185,-174.01631709264998,5071,5557.0,CN,Homura Berry,0.36269786648313834
17569877,-138.0151414993443,5184,5558.0,ID,ntah,0.3625831612755219
27686752,-65.03836471326808,5411,5559.0,BR,guilhabekk3,0.3624684560679055
24317656,-117.4927028311864,5249,5560.0,AE,DreamVFX,0.36235375086028904
30301464,-135.92612041971296,5192,5561.0,CN,aaasss,0.3622390456526726
15950451,12.974561229169582,8510,5562.0,US,Danyippee,0.3621243404450562
18645421,-132.88929434795267,5202,5563.0,US,Toaster-aid,0.3620096352374398
13887380,43.88220234069555,5750,5564.0,CA,svp-,0.36189493002982337
14391160,0.6947672030117777,8418,5565.0,ES,Anxo3789,0.36178022482220695
30827082,-197.9092925208647,5003,5566.0,CN,Kate60,0.3616655196145905
24277316,-43.70514225789703,5484,5567.0,US,[FUWWY]Son,0.36155081440697406
14909850,37.70075938608453,5737,5568.0,MX,Temporus,0.36143610919935765
12530816,131.16966697583578,6027,5569.0,US,im kurarin,0.36132140399174123
28022541,-26.52417882464785,5539,5570.0,ES,viperochico,0.3612066987841248
29893853,-117.12668005220378,5259,5571.0,IT,-Skill Issue-,0.3610919935765084
22431249,-45.286671114323546,5483,5572.0,MX,Tsurawako,0.3609772883688919
16338705,-95.01045161002386,5329,5573.0,CN,[GB]jackgu,0.3608625831612755
6653030,21.095360469624737,5689,5574.0,AR,LucasEsCool,0.3607478779536591
10580267,100.37746380389358,5935,5575.0,CN,Chenut BS,0.3606331727460427
